FieldData_ID,Test_ID,Location_ID,Date,Time,WaterDepth,SamplingDepth,DO,pH,WaterTemp,AirTemp,SoilTemp11,SoilTemp30,SM12,SM12Period,SM20,SM20Period,Notes
FD_HF_C01_20120702,FD_HF_C01_20120702,C01,2012-07-02,11:40 AM,0,0.5,4.35,,16,24.65,14.8,12.9,1.01,,0.95,,
FD_HF_C02_20120702,FD_HF_C02_20120702,C02,2012-07-02,11:50 AM,0,0.5,4.85,,19.5,24.4,16.5,15,1.06,,0.95,,
FD_HF_C04_20120702,FD_HF_C04_20120702,C04,2012-07-02,12:00 PM,,0.5,4.93,,19.6,23.8,16.5,14.8,1.007,,0.93,,
FD_HF_stream1_20120702,FD_HF_stream1_20120702,stream1,2012-07-02,3:50 PM,,,7.9,,18.1,,,,,,,,42.43001 / 76.22971
FD_HF_culvert_20120702,FD_HF_culvert_20120702,culvert,2012-07-02,3:30 PM,,,9.17,,21.5,,,,,,,,
FD_HF_stream2_20120702,FD_HF_stream2_20120702,stream2,2012-07-02,4:15 PM,,,8.5,,19.7,,,,,,,,"under the second spruce tree, on the W side of the tracks"
FD_HF_culvert2_20120702,FD_HF_culvert2_20120702,culvert2,2012-07-02,4:30 PM,,,8.8,,17.2,,,,,,,,"stream3, the culvert off A02 (E side of the stream)"
FD_HF_bridge_20120702,FD_HF_bridge_20120702,bridge,2012-07-02,3:10 PM,,,8.65,,15.5,,,,,,,,
FD_HF_A02_20120709,FD_HF_A02_20120709,A02,2012-07-09,4:22 PM,,,,,,,20.6,17,0.76,1.205,0.64,1.36,
FD_HF_50_20120709,FD_HF_50_20120709,50,2012-07-09,4:35 PM,0.86435,,,,,,24.9,,0.13,0.87,,,
FD_HF_61_20120709,FD_HF_61_20120709,61,2012-07-09,4:42 PM,0.817875,,,,,,20.9,,0.09,0.84,,,
FD_HF_C01_20120709,FD_HF_C01_20120709,C01,2012-07-09,4:50 PM,0,,,,,,15.7,13.1,0.81,1.23,0.94,1.56,
FD_HF_C02_20120709,FD_HF_C02_20120709,C02,2012-07-09,4:54 PM,,,,,,,19.1,16,0.87,1.25,0.96,1.58,
FD_HF_5_20120709,FD_HF_5_20120709,5,2012-07-09,4:56 PM,0.03,,,,,,17.3,,0.925,1.275,0.91,1.54,
FD_HF_63_20120709,FD_HF_63_20120709,63,2012-07-09,5:07 PM,0.72385,,,,,,19.7,,0.12,0.86,0.12,0.92,
FD_HF_135_20120709,FD_HF_135_20120709,135,2012-07-09,2:50 PM,,,,,,,19.9,,0.05,0.81,,,
FD_HF_137_20120709,FD_HF_137_20120709,137,2012-07-09,3:15 PM,,,,,,,17.7,15.7,0.21,0.92,0.2,1,temp30 ~ 25 cm
FD_HF_139_20120709,FD_HF_139_20120709,139,2012-07-09,3:22 PM,,,,,,,17,15.3,0.14,0.88,0.17,0.97,
FD_HF_140_20120709,FD_HF_140_20120709,140,2012-07-09,3:30 PM,,,,,,,17.1,15.4,0.21,0.92,0.2,1,
FD_HF_141_20120709,FD_HF_141_20120709,141,2012-07-09,3:34 PM,,,,,,,16.6,15.1,0.06,0.82,0.09,0.89,
FD_HF_142_20120709,FD_HF_142_20120709,142,2012-07-09,3:40 PM,,,,,,,17.1,,0.05,0.81,,,
FD_HF_143_20120709,FD_HF_143_20120709,143,2012-07-09,3:48 PM,,,,,,,17.1,,0.08,0.83,,,
FD_HF_144_20120709,FD_HF_144_20120709,144,2012-07-09,3:55 PM,,,,,,,18.7,,0.04,0.8,,,
FD_HF_145_20120709,FD_HF_145_20120709,145,2012-07-09,4:00 PM,,,,,,,18.1,,0.1,0.85,,,
FD_HF_146_20120709,FD_HF_146_20120709,146,2012-07-09,4:01 PM,,,,,,,18.1,,0.165,0.89,,,
FD_HF_147_20120709,FD_HF_147_20120709,147,2012-07-09,4:10 PM,,,,,,,16.9,,0.07,0.82,,,
FD_HF_148_20120709,FD_HF_148_20120709,148,2012-07-09,4:14 PM,,,,,,,17.6,,0.15,0.88,,,
FD_HF_149_20120709,FD_HF_149_20120709,149,2012-07-09,4:17 PM,,,,,,,17.1,15.1,0.15,0.88,0.16,0.96,
FD_HF_bridge_20120715,FD_HF_bridge_20120715,bridge,2012-07-15,6:45 PM,,,7.7,,16.1,,,,,,,,
FD_HF_stream1_20120715,FD_HF_stream1_20120715,stream1,2012-07-15,7:45 PM,,,7.4,,14.8,,,,,,,,
FD_HF_culvert_20120715,FD_HF_culvert_20120715,culvert,2012-07-15,7:30 PM,,,7.98,,18.8,,,,,,,,
FD_HF_stream2_20120715,FD_HF_stream2_20120715,stream2,2012-07-15,7:10 PM,,,7.65,,17,,,,,,,,
FD_HF_culvert2_20120715,FD_HF_culvert2_20120715,culvert2,2012-07-15,7:00 PM,,,7.51,,18.1,,,,,,,,
FD_HF_A02_20120716,FD_HF_A02_20120716,A02,2012-07-16,10:11 AM,,,,,,,19.4,,,,,,
FD_HF_99_20120716,FD_HF_99_20120716,99,2012-07-16,12:45 PM,2.21,,5.64,7.6,19.1,,21.5,,,,,,
FD_HF_50_20120716,FD_HF_50_20120716,50,2012-07-16,1:35 PM,0.96,,4.95,7.3,22.2,,24.3,,,,,,
FD_HF_61_20120716,FD_HF_61_20120716,61,2012-07-16,1:55 PM,0.87,,6.32,7.4,18.6,,21.4,,,,,,
FD_HF_60_20120716,FD_HF_60_20120716,60,2012-07-16,2:15 PM,0.07,,4.8,7.6,20.4,,18.3,,,,,,no well cap
FD_HF_C01_20120716,FD_HF_C01_20120716,C01,2012-07-16,2:40 PM,0,,3.17,7.65,18.3,,18.7,,,,,,
FD_HF_63_20120716,FD_HF_63_20120716,63,2012-07-16,3:24 PM,0.81,,2.57,7.26,19.6,,21.5,,,,,,
FD_HF_C02_20120716,FD_HF_C02_20120716,C02,2012-07-16,2:53 PM,0,,3.75,7.49,20.4,,19.7,,,,,,
FD_HF_C04_20120716,FD_HF_C04_20120716,C04,2012-07-16,3:00 PM,,,,,,,18.8,,,,,,
FD_HF_C03_20120716,FD_HF_C03_20120716,C03,2012-07-16,3:08 PM,,,,,,,19.3,,,,,,
FD_HF_C05_20120716,FD_HF_C05_20120716,C05,2012-07-16,3:15 PM,,,,,,,19.3,,,,,,
FD_HF_bridge_20120716,FD_HF_bridge_20120716,bridge,2012-07-16,4:20 PM,,,8.33,7.97,17.3,,18.5,,,,,,
FD_HF_137_20120716,FD_HF_137_20120716,137,2012-07-16,10:30 AM,,,,,,,18.5,,,,,,
FD_HF_139_20120716,FD_HF_139_20120716,139,2012-07-16,10:40 AM,,,,,,,18.3,16.1,,,,,
FD_HF_135_20120716,FD_HF_135_20120716,135,2012-07-16,12:20 PM,,,,,,,21.2,,,,,,
FD_HF_140_20120716,FD_HF_140_20120716,140,2012-07-16,10:45 AM,,,,,,,19,,,,,,
FD_HF_141_20120716,FD_HF_141_20120716,141,2012-07-16,10:50 AM,,,,,,,18.4,,,,,,
FD_HF_142_20120716,FD_HF_142_20120716,142,2012-07-16,10:55 AM,,,,,,,18.6,,,,,,
FD_HF_143_20120716,FD_HF_143_20120716,143,2012-07-16,11:00 AM,,,,,,,18.7,,,,,,
FD_HF_144_20120716,FD_HF_144_20120716,144,2012-07-16,11:05 AM,,,,,,,19.1,,,,,,
FD_HF_145_20120716,FD_HF_145_20120716,145,2012-07-16,11:10 AM,,,,,,,19.1,,,,,,
FD_HF_146_20120716,FD_HF_146_20120716,146,2012-07-16,11:15 AM,,,,,,,18.4,,,,,,
FD_HF_147_20120716,FD_HF_147_20120716,147,2012-07-16,11:20 AM,,,,,,,18.8,,,,,,
FD_HF_148_20120716,FD_HF_148_20120716,148,2012-07-16,11:25 AM,,,,,,,19,,,,,,
FD_HF_149_20120716,FD_HF_149_20120716,149,2012-07-16,11:30 AM,,,,,,,18.8,,,,,,
FD_HF_152_20120716,FD_HF_152_20120716,152,2012-07-16,11:38 AM,,,,,,,18.2,,,,,,
FD_HF_153_20120716,FD_HF_153_20120716,153,2012-07-16,11:42 AM,,,,,,,19.1,,,,,,
FD_HF_154_20120716,FD_HF_154_20120716,154,2012-07-16,11:46 AM,,,,,,,19.1,,,,,,
FD_HF_155_20120716,FD_HF_155_20120716,155,2012-07-16,11:50 AM,,,,,,,19.5,,,,,,
FD_HF_156_20120716,FD_HF_156_20120716,156,2012-07-16,11:58 AM,,,,,,,19.5,,,,,,
FD_HF_157_20120716,FD_HF_157_20120716,157,2012-07-16,12:08 PM,,,,,,,19.5,,,,,,
FD_HF_158_20120716,FD_HF_158_20120716,158,2012-07-16,12:14 PM,,,,,,,19.1,,,,,,
FD_HF_159_20120716,FD_HF_159_20120716,159,2012-07-16,1:07 PM,,,,,,,24.6,,,,,,
FD_HF_160_20120716,FD_HF_160_20120716,160,2012-07-16,1:08 PM,,,,,,,23.5,,,,,,
FD_HF_161_20120716,FD_HF_161_20120716,161,2012-07-16,1:11 PM,,,,,,,23.8,,,,,,
FD_HF_162_20120716,FD_HF_162_20120716,162,2012-07-16,1:14 PM,,,,,,,23,,,,,,
FD_HF_163_20120716,FD_HF_163_20120716,163,2012-07-16,1:14 PM,,,,,,,27.3,,,,,,
FD_HF_164_20120716,FD_HF_164_20120716,164,2012-07-16,1:20 PM,,,,,,,24.5,,,,,,
FD_HF_165_20120716,FD_HF_165_20120716,165,2012-07-16,1:22 PM,,,,,,,23,,,,,,
FD_HF_95_20120716,FD_HF_95_20120716,95,2012-07-16,1:20 PM,,,,,,,24.5,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
