FieldData_ID,Test_ID,Location_ID,Date,Time,WaterDepth,SamplingDepth,DO,pH,WaterTemp,AirTemp,SoilTemp11,SoilTemp30,SM12,SM12Period,SM20,SM20Period,Notes
FD_HF_A02_20120614,FD_HF_A02_20120614,A02,2012-06-14,12:30 PM,0.15,0.5,,,17.4,,14.6,,0.82,,,,
FD_HF_99_20120614,FD_HF_99_20120614,99,2012-06-14,1:15 PM,1.77,1.77,3.93,,20.3,,15.5,,0.2,,,,
FD_HF_95_20120614,FD_HF_95_20120614,95,2012-06-14,1:45 PM,2.32,2.32,,,,,16.8,,0.14,,,,"no sample b/c too dry, soil temp may be 16.0 (tough to read the gage)"
FD_HF_61_20120614,FD_HF_61_20120614,61,2012-06-14,2:00 PM,0.65,0.65,4.7,,19.9,,16,,0.35,,,,
FD_HF_C01_20120614,FD_HF_C01_20120614,C01,2012-06-14,2:20 PM,0,0.5,4.59,,15.8,,10.5,,1.1,,,,
FD_HF_C02_20120614,FD_HF_C02_20120614,C02,2012-06-14,2:37 PM,0,0.5,3.6,,16.4,,,,,,,,
FD_HF_64_20120614,FD_HF_64_20120614,64,2012-06-14,2:45 PM,0.36,0.36,1.86,,18.4,,15.2,,0.53,,,,
FD_HF_culvert_20120614,FD_HF_culvert_20120614,culvert,2012-06-14,3:15 PM,,,9.33,,22,,,,,,,,the 3 river samples may have been swapped with one another
FD_HF_stream1_20120614,FD_HF_stream1_20120614,stream1,2012-06-14,3:20 PM,,,8,,17.8,,,,,,,,
FD_HF_bridge_20120614,FD_HF_bridge_20120614,bridge,2012-06-14,3:40 PM,,,8.4,,17.5,,,,,,,,
FD_HF_C02_20120425,FD_HF_C02_20120425,C02,2012-04-25,,,,4.95,,10,,,,,,,,
FD_HF_C01_20120425,FD_HF_C01_20120425,C01,2012-04-25,,,,4.99,,9.9,,,,,,,,
FD_HF_61_20120425,FD_HF_61_20120425,61,2012-04-25,,,,6.64,,10,,,,,,,,
FD_HF_95_20120425,FD_HF_95_20120425,95,2012-04-25,,,,7.19,,8.9,,,,,,,,
FD_HF_A02_20120625,FD_HF_A02_20120625,A02,2012-06-25,3:20 PM,0.41,,,,,14.9,17.3,,0.603,,,,well was dry?
FD_HF_99_20120625,FD_HF_99_20120625,99,2012-06-25,3:45 PM,1.94,1.94,5.85,,14.6,21.7,17.3,,0.11,,,,
FD_HF_95_20120625,FD_HF_95_20120625,95,2012-06-25,4:00 PM,,,,,,26.6,20.2,,0.05,,,,well was dry
FD_HF_61_20120625,FD_HF_61_20120625,61,2012-06-25,4:15 PM,0.72,0.72,,,,15.6,17.9,,0.07,,,,
FD_HF_63_20120625,FD_HF_63_20120625,63,2012-06-25,2:45 PM,0.59,0.59,1.78,,17.7,20.3,16.7,,0.275,,,,
FD_HF_C04_20120625,FD_HF_C04_20120625,C04,2012-06-25,5:00 PM,0.03,0.5,7.07,,16.7,16,16,,0.923,,,,
FD_HF_C02_20120625,FD_HF_C02_20120625,C02,2012-06-25,4:30 PM,0,0.5,4.03,,14.8,17.7,15.1,,1.03,,,,
FD_HF_A02_20120702,FD_HF_A02_20120702,A02,2012-07-02,9:45 AM,,,,,,21.85,17.7,15.7,0.82,,0.76,,well was dry
FD_HF_99_20120702,FD_HF_99_20120702,99,2012-07-02,10:00 AM,2.06,2.06,5.7,,15.2,21.75,19.1,,0.095,,,,too rocky for deeper temp / soil moisture
FD_HF_95_20120702,FD_HF_95_20120702,95,2012-07-02,10:20 AM,,,,,,27,22.6,20.9,0.033,,0.04,,well depth = 302-59
FD_HF_50_20120702,FD_HF_50_20120702,50,2012-07-02,10:40 AM,0.78,0.78,4.68,,17.2,23.45,19.3,18.3,0.09,,0.1,,
FD_HF_61_20120702,FD_HF_61_20120702,61,2012-07-02,10:55 AM,0.76,0.76,6.33,,17.2,24.8,19.1,17.6,0.15,,0.17,,
FD_HF_63_20120702,FD_HF_63_20120702,63,2012-07-02,12:15 PM,0.66,0.66,2.22,,19.1,27.5,17.7,,0.09,,,,too rocky for deeper temp / soil moisture
